No. overall,Title,Directed by,Written by,Original air date,Prod.,U.S. viewers,season
1,"""The Pilot""[a]",James Burrows,David Crane & Marta Kauffman,"September 22, 1994",475085,21.5[13],1
2,"""The One with the Sonogram at the End""",James Burrows,David Crane & Marta Kauffman,"September 29, 1994",456652,20.2[14],1
3,"""The One with the Thumb""",James Burrows,Jeffrey Astrof & Mike Sikowitz,"October 6, 1994",456651,19.5[15],1
4,"""The One with George Stephanopoulos""",James Burrows,Alexa Junge,"October 13, 1994",456654,19.7[16],1
5,"""The One with the East German Laundry Detergent""",Pamela Fryman,Jeff Greenstein & Jeff Strauss,"October 20, 1994",456653,18.6[17],1
6,"""The One with the Butt""",Arlene Sanford,Adam Chase & Ira Ungerleider,"October 27, 1994",456655,18.2[18],1
7,"""The One with the Blackout""",James Burrows,Jeffrey Astrof & Mike Sikowitz,"November 3, 1994",456656,23.5[19],1
8,"""The One Where Nana Dies Twice""",James Burrows,Marta Kauffman & David Crane,"November 10, 1994",456657,21.1[20],1
9,"""The One Where Underdog Gets Away""",James Burrows,Jeff Greenstein & Jeff Strauss,"November 17, 1994",456659,23.1[21],1
10,"""The One with the Monkey""",Peter Bonerz,Adam Chase & Ira Ungerleider,"December 15, 1994",456661,19.9[22],1
11,"""The One with Mrs. Bing""",James Burrows,Alexa Junge,"January 5, 1995",456660,26.6[23],1
12,"""The One with The Dozen Lasagnas""",Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,"January 12, 1995",456658,24.0[24],1
13,"""The One with the Boobies""",Alan Myerson,Alexa Junge,"January 19, 1995",456664,25.8[25],1
14,"""The One with the Candy Hearts""",James Burrows,Bill Lawrence,"February 9, 1995",456667,23.8[26],1
15,"""The One with the Stoned Guy""",Alan Myerson,Jeff Greenstein & Jeff Strauss,"February 16, 1995",456663,24.8[27],1
16,"""The One with Two Parts""",Michael Lembeck,Marta Kauffman & David Crane,"February 23, 1995",456665,26.1[28],1
17,"""The One with Two Parts""",Michael Lembeck,Marta Kauffman & David Crane,"February 23, 1995",456666,30.5[28],1
18,"""The One with All the Poker""",James Burrows,Jeffrey Astrof & Mike Sikowitz,"March 2, 1995",456662,30.4[29],1
19,"""The One Where the Monkey Gets Away""",Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,"March 9, 1995",456668,29.4[30],1
20,"""The One with the Evil Orthodontist""",Peter Bonerz,Doty Abrams,"April 6, 1995",456669,30.0[31],1
21,"""The One with the Fake Monica""",Gail Mancuso,Adam Chase & Ira Ungerleider,"April 27, 1995",456671,28.4[32],1
22,"""The One with the Ick Factor""",Robby Benson,Alexa Junge,"May 4, 1995",456670,29.9[33],1
23,"""The One with the Birth""",James Burrows,Story by : David Crane & Marta Kauffman,"May 11, 1995",456672,28.7[34],1
24,"""The One Where Rachel Finds Out""",Kevin S. Bright,Chris Brown,"May 18, 1995",456673,31.3[35],1
25,"""The One with Ross's New Girlfriend""",Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,"September 21, 1995",457301,32.1[36],2
26,"""The One with the Breast Milk""",Michael Lembeck,Adam Chase & Ira Ungerleider,"September 28, 1995",457302,29.8[37],2
27,"""The One Where Heckles Dies""",Kevin S. Bright,Michael Curtis & Gregory S. Malins,"October 5, 1995",457303,30.2[38],2
28,"""The One with Phoebe's Husband""",Gail Mancuso,Alexa Junge,"October 12, 1995",457305,28.1[39],2
29,"""The One with Five Steaks and an Eggplant""",Ellen Gittelsohn,Chris Brown,"October 19, 1995",457304,28.3[40],2
30,"""The One with the Baby on the Bus""",Gail Mancuso,Betsy Borns,"November 2, 1995",457306,30.2[41],2
31,"""The One Where Ross Finds Out""",Peter Bonerz,Michael Borkow,"November 9, 1995",457307,30.5[42],2
32,"""The One with the List""",Mary Kay Place,David Crane & Marta Kauffman,"November 16, 1995",457308,32.9[43],2
33,"""The One with Phoebe's Dad""",Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,"December 14, 1995",457309,27.8[44],2
34,"""The One with Russ""",Thomas Schlamme,Ira Ungerleider,"January 4, 1996",457311,32.2[45],2
35,"""The One with the Lesbian Wedding""",Thomas Schlamme,Doty Abrams,"January 18, 1996",457312,31.6[46],2
36,"""The One After the Superbowl"" (Part 1)",Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,"January 28, 1996",457313,52.9[47],2
37,"""The One After the Superbowl"" (Part 2)",Michael Lembeck,Michael Borkow,"January 28, 1996",457314,52.9[47],2
38,"""The One with the Prom Video""",James Burrows,Alexa Junge,"February 1, 1996",457310,33.6[49],2
39,"""The One Where Ross and Rachel...You Know""",Michael Lembeck,Michael Curtis & Gregory S. Malins,"February 8, 1996",457315,32.9[51],2
40,"""The One Where Joey Moves Out""",Michael Lembeck,Betsy Borns,"February 15, 1996",457316,31.1[53],2
41,"""The One Where Eddie Moves In""",Michael Lembeck,Adam Chase,"February 22, 1996",457317,30.2[55],2
42,"""The One Where Dr. Ramoray Dies""",Michael Lembeck,Story by : Alexa Junge,"March 21, 1996",457318,30.1[57],2
43,"""The One Where Eddie Won't Go""",Michael Lembeck,Michael Curtis & Gregory S. Malins,"March 28, 1996",457319,31.2[59],2
44,"""The One Where Old Yeller Dies""",Michael Lembeck,Story by : Michael Curtis & Gregory S. Malins,"April 4, 1996",457320,27.4[61],2
45,"""The One with the Bullies""",Michael Lembeck,Brian Buckner & Sebastian Jones,"April 25, 1996",457321,24.7[63],2
46,"""The One with the Two Parties""",Michael Lembeck,Alexa Junge,"May 2, 1996",457322,25.5[65],2
47,"""The One with the Chicken Pox""",Michael Lembeck,Brown Mandell,"May 9, 1996",457324,26.1[67],2
48,"""The One with Barry and Mindy's Wedding""",Michael Lembeck,Story by : Ira Ungerleider,"May 16, 1996",457323,29.0[69],2
49,"""The One with the Princess Leia Fantasy""",Gail Mancuso,Michael Curtis & Gregory S. Malins,"September 19, 1996",465251,26.76[71],3
50,"""The One Where No One's Ready""",Gail Mancuso,Ira Ungerleider,"September 26, 1996",465252,26.73[73],3
51,"""The One with the Jam""",Kevin S. Bright,Wil Calhoun,"October 3, 1996",465253,25.23[75],3
52,"""The One with the Metaphorical Tunnel""",Steve Zuckerman,Alexa Junge,"October 10, 1996",465254,26.10[77],3
53,"""The One with Frank Jr.""",Steve Zuckerman,Shana Goldberg-Meehan & Scott Silveri,"October 17, 1996",465255,23.25[79],3
54,"""The One with the Flashback""",Peter Bonerz,David Crane & Marta Kauffman,"October 31, 1996",465256,23.27[81],3
55,"""The One with the Race Car Bed""",Gail Mancuso,Seth Kurland,"November 7, 1996",465257,27.36[83],3
56,"""The One with the Giant Poking Device""",Gail Mancuso,Adam Chase,"November 14, 1996",465258,28.69[85],3
57,"""The One with the Football""",Kevin S. Bright,Ira Ungerleider,"November 21, 1996",465259,29.28[87],3
58,"""The One Where Rachel Quits""",Terry Hughes,Gregory S. Malins & Michael Curtis,"December 12, 1996",465260,25.10[89],3
